practice,model_type,est,se,ci.lb,ci.ub,pval,tau2_L2,tau2_L3,k,studies,est_pct,ci.lb_pct,ci.ub_pct
Inorganic Fertilizer-Solo,rma.mv,0.364122011330391,0.0502581299636419,0.265516228376373,0.462727794284408,7.81063411451274e-13,0.600483703358441,0.0850093524244288,1175,63,43.9249808229462,30.4104017541391,58.840091175687
Intercropping-Solo,rma.mv,-0.254946038532471,0.0882884416862559,-0.429553407824866,-0.0803386692400751,0.00452189840559763,0.0896019355255575,0.105242880766478,136,17,-22.504168527924,-34.9200328125215,-7.71962317916012
Crop Rotation-Solo,rma.mv,0.13183896037329,0.0606426104784736,0.0116220578367215,0.252055862909858,0.0319064139249046,0.00131452095877951,0.0395334692514141,108,12,14.0924570405286,1.16898563490682,28.666791229085
Crop Rotation-Inorganic Fertilizer-Solo,rma.mv,0.832744006012875,0.259428780616216,0.279784649463316,1.38570336256243,0.00584400917832211,1.60014311680219e-05,0.260969268651443,16,4,129.962026243029,32.2844906300682,299.763670419117
Reduced Tillage-Solo,rma.mv,-0.0447624002919666,0.0829072416783473,-0.207991999520686,0.118467198936753,0.589706173155063,0.0689428225531844,0.0837435831974333,270,15,-4.37753464574386,-18.7786465216472,12.5769947045131
Inorganic Fertilizer-Intercropping-Solo,rma.mv,0.430100470235774,0.257235376193328,-0.104849779449605,0.965050719921152,0.109357346490198,0.0566945696176672,0.244261102128066,22,4,53.7411979933122,-9.95402200094506,162.492078887376
pH Control-Solo,rma.mv,0.124998791582711,0.169524469559517,-0.208216471317304,0.458214054482726,0.461318604567777,1.29415281455849,0.209382529588885,424,13,13.3147083751472,-18.7968763786653,58.124743994098
Organic Fertilizer-Solo,rma.mv,0.349332682797185,0.0838396771749111,0.182745030077154,0.515920335517216,7.14274684337438e-05,0.0585918298369348,0.0558669390645199,90,11,41.8120896299934,20.0508275552802,67.5179519771729
Crop Rotation-Mulch-Solo,rma.mv,0.412311099107502,0.150541959925259,0.0843083454190968,0.740313852795907,0.0179697498827296,0.186538249358227,0.0175423147068776,13,4,51.0304217544832,8.79643109054145,109.6593432955
Mulch-Solo,rma.mv,0.0653094293833564,0.0433632908217177,-0.0200241729440183,0.150643031710731,0.133090331973093,0.398404520895368,0.00183563396918168,302,11,6.74892858367147,-1.98250206945233,16.2581579243758
Supplemental Irrigation-Solo,rma.mv,0.400808073695245,0.244359417014429,-0.0824596582048755,0.884075805595365,0.103283326814362,0.729664208216524,0.213289681148591,136,5,49.3030689136729,-7.91514142075189,142.074611732796
Mulch-Reduced Tillage-Solo,rma.mv,0.0327788375982041,0.0587477170279384,-0.083091145576684,0.148648820773092,0.577518786706608,0.00826234085186312,0.0390063336665409,194,14,3.33219819967356,-7.97327348931406,16.0265456528736
Inorganic Fertilizer-Mulch-Reduced Tillage-Solo,rma.mv,0.698666365520643,0.467278363671437,-0.232618070267046,1.62995080130833,0.13917748075097,0.00230766101863722,0.637991320020617,74,3,101.106888744214,-20.7543821689687,410.362362075503
Inorganic Fertilizer-Organic Fertilizer-Solo,rma.mv,0.526249857161131,0.0721560793959067,0.367435397200347,0.685064317121916,1.55620425244007e-05,0.0395079391085345,2.75528279944002e-06,12,3,69.2573001395762,44.4026507360998,98.3899430135374
Inorganic Fertilizer-Mulch-Solo,rma.mv,0.793104225816299,0.080281656250389,0.633827706355629,0.952380745276969,1.82373932614175e-16,0.0293688448827047,0.0119836008313828,101,3,121.024689352349,88.4811293530198,159.187290902762
Crop Residue Incorporation-Crop Rotation-Solo,rma.mv,0.400875154678769,0.26935557605261,-0.20844949102828,1.01019980038582,0.170855760087115,0.0342402504822176,0.191156870132183,10,3,49.3130846463076,-18.8157961026419,174.614964196513
Crop Rotation-Mulch-Reduced Tillage-Solo,rma.mv,0.208495119095963,0.0650324632333266,0.0739652191040454,0.343025019087881,0.00392187861375358,0.0433059272807655,0.00318198240910858,24,5,23.1822917636818,7.67693538420595,40.9204018484587
Crop Rotation-Reduced Tillage-Solo,rma.mv,0.0301954137413967,0.06455207023175,-0.10739406701901,0.167784894501803,0.646674138097564,2.15649319547773e-06,0.00793442888519905,16,4,3.06559186053592,-10.1828336586823,18.268218184434
Crop Residue Incorporation-Solo,rma.mv,0.0149747582023892,0.0580878613612452,-0.105189138275517,0.135138654680296,0.798857765027301,2.44046710802482e-06,0.00868040036543472,24,5,1.5087441660576,-9.98457471385735,14.4695490735673
Organic Fertilizer-Combo,rma.mv,0.781043790697985,0.185523469985661,0.401605690571995,1.16048189082398,0.000225615021265591,0.0627524972114264,0.152067106574392,30,5,118.375045472636,49.4222030665784,219.147084613172
Inorganic Fertilizer-Combo,rma.mv,0.419337656139416,0.25147620314587,-0.0756051209860589,0.91428043326489,0.0964899080093557,0.445278223695104,1.00943806201672,292,18,52.0953827494334,-7.28177409023908,149.497930171907
Intercropping-Combo,rma.mv,0.182606311500756,0.158320467910914,-0.13367518213033,0.498887805131842,0.253036966198917,0.123953870271568,0.181129304353142,65,9,20.0341754303926,-12.5125806772518,64.6888590701393
Mulch-Combo,rma.mv,0.204669617671141,0.0726998808398316,0.0618609801541787,0.347478255188103,0.0050513116100612,0.129047662730907,0.108302082928307,542,26,22.7119579359809,6.3814443127777,41.5493530639467
Reduced Tillage-Combo,rma.mv,0.189967258599979,0.0558175010143389,0.0802446429148935,0.299689874285064,0.000730800555818039,0.127684507909229,0.0397886348381587,413,21,20.9210005780599,8.35521186009545,34.9440246554863
Crop Rotation-Combo,rma.mv,0.247775168571775,0.13291956837533,-0.0154188523469223,0.510969189490472,0.064772234772583,0.081546870056251,0.225952098043319,120,14,28.1171852113195,-1.53005904442008,66.6905960050889
Crop Residue Incorporation-Combo,rma.mv,0.27024116434235,0.1435248705292,-0.0149843562115349,0.555466684896235,0.0630193413295401,0.011178184579208,0.112803620716928,89,6,31.0280405545497,-1.48726493935969,74.2754112044153
Agroforestry Pruning-Combo,rma.mv,0.0850720174052792,0.206536994973781,-0.391203147076901,0.56134718188746,0.691229938005353,0.00032671282340909,0.115496321516876,9,3,8.87954761000125,-32.3757234656553,75.3032563939931
pH Control-Combo,rma.mv,-0.246895340440101,0.858208023559447,-1.97541502905592,1.48162434817571,0.774907081660861,2.63322566398328,3.03119302510536,46,5,-21.8777548349109,-86.1296265784359,340.008715276972
Crop Residue-Combo,rma.mv,0.330068034966289,0.107642084923902,0.11758966864455,0.542546401288029,0.00251935416101696,0.0462562069289798,0.103201674025166,172,10,39.106276615281,12.4782483142658,72.0382072425358
Multistrata Agroforestry-Solo,rma.mv,-0.0537715750850961,0.138133201266916,-0.326261787803539,0.218718637633346,0.697514517590802,0.380770823324078,0.109319081072147,189,8,-5.23514516804861,-27.8383747631358,24.4481077282215
