variable,family,k,AIC,R2,p,composite_score,interpretation
gdd_Harvest.Start,GDD,649,735.872877026996,0.121060486009678,1.69516000105595e-23,0.965890850722311,Weak predictor
rain_Harvest.Start,Rainfall,649,735.872877026996,0.121060486009678,1.69516000105595e-23,0.965890850722311,Weak predictor
temp_Harvest.Start,Temperature,649,735.872877026996,0.121060486009678,1.69516000105595e-23,0.965890850722311,Weak predictor
eratio_Harvest.Start,ETo / Evaporative,649,735.872877026996,0.121060486009678,1.69516000105595e-23,0.965890850722311,Weak predictor
gdd_Harvest.End,GDD,649,736.076653085848,0.120687368498082,1.90124275846956e-23,0.920411985018727,Weak predictor
rain_Harvest.End,Rainfall,649,736.076653085848,0.120687368498082,1.90124275846956e-23,0.920411985018727,Weak predictor
temp_Harvest.End,Temperature,649,736.076653085848,0.120687368498082,1.90124275846956e-23,0.920411985018727,Weak predictor
eratio_Harvest.End,ETo / Evaporative,649,736.076653085848,0.120687368498082,1.90124275846956e-23,0.920411985018727,Weak predictor
rain_rain_l_5.n_seq_d5,Rainfall,1839,2143.98997302214,0.0762843050753759,9.03141161259692e-15,0.90904226859283,Weak predictor
rain_rain_l_0.1.days_pr,Rainfall,1839,2151.64333070627,0.0536677878204197,8.38711502183439e-13,0.897672552166934,Weak predictor
temp_tmean_max,Temperature,1839,2155.34752695578,0.0397829992510788,8.85704233531529e-12,0.872819689673622,Negligible
rain_rain_l_0.1.days,Rainfall,1839,2158.43936582792,0.0482120598593532,3.1846741829308e-11,0.87255216693419,Negligible
temp_tmean_var,Temperature,1839,2164.69069269567,0.0409744733112599,9.12262394756928e-10,0.861182450508293,Negligible
temp_tmin_var,Temperature,1839,2168.43944917609,0.0399673835870473,6.41218628361322e-09,0.849812734082397,Negligible
gdd_gdd_subopt,GDD,1839,2156.78752327951,0.0285907963198421,2.24284473402182e-11,0.834483681112895,Negligible
rain_rain_l_0.1.n_seq_d5,Rainfall,1839,2170.31933481956,0.0389711647526614,1.6822241071668e-08,0.827073301230605,Negligible
eratio_eratio_l_0.1.max_seq,ETo / Evaporative,1839,2170.15864176329,0.0347843973262242,1.5752848933194e-08,0.824959871589085,Negligible
temp_tmean_range,Temperature,1839,2170.66732779315,0.0370647988812297,2.10159052184637e-08,0.815703584804708,Negligible
temp_tmean_sd,Temperature,1839,2172.28526043503,0.0331994591340624,5.23837920631436e-08,0.786088817549492,Negligible
temp_tmax_mean,Temperature,1839,2170.89444522687,0.0241836326329556,3.17024577718338e-08,0.768378812199037,Negligible
gdd_gdd_aboveopt,GDD,1839,2171.32684529732,0.0249808236443209,3.2637944783845e-08,0.765997859818085,Negligible
eratio_eratio_l_0.25.max_seq,ETo / Evaporative,1839,2176.54991827261,0.0287779350998496,4.80647496598879e-07,0.763349384697699,Negligible
temp_tmin_sd,Temperature,1839,2177.34725996704,0.0304764723372253,7.4589155819308e-07,0.754093097913323,Negligible
temp_tmean_mean,Temperature,1839,2173.3266841467,0.0215158906553201,1.19744957945885e-07,0.729775280898877,Negligible
rain_rain_l_1.n_seq_d10,Rainfall,1839,2178.31787090049,0.0269234507729115,1.28124953090506e-06,0.726859283039058,Negligible
temp_tmax_max,Temperature,1839,2176.90783770619,0.0207253324053683,7.11535222567492e-07,0.711530230069556,Negligible
rain_rain_l_1.days_pr,Rainfall,1839,2178.15568419635,0.0232310247612525,1.22855879007313e-06,0.711262707330123,Negligible
rain_rain_l_0.1.n_seq_d10,Rainfall,1839,2181.64732421861,0.0253061544750153,7.01663549595611e-06,0.708614232209738,Negligible
eratio_eratio_l_0.1.n_seq_d15,ETo / Evaporative,1839,2179.91965198813,0.0215922738835509,3.43880207518296e-06,0.693017656500803,Negligible
temp_tmin_range,Temperature,1839,2184.05319970896,0.023793235866677,2.67320737269113e-05,0.688255751738898,Negligible
rain_rain_l_1.days,Rainfall,1839,2185.91924082324,0.0153170929907861,8.04567945786898e-05,0.645425361155698,Negligible
eratio_eratio_l_0.25.n_seq_d15,ETo / Evaporative,1839,2186.54892988991,0.0156253632569749,0.000119249668078986,0.643044408774746,Negligible
rain_rain_l_0.1.max_seq,Rainfall,1839,2188.53568853341,0.0189607612563822,0.000302344430105889,0.633788121990369,Negligible
temp_tmax_range,Temperature,1839,2188.56249996941,0.019686914216452,0.000319154273473656,0.631407169609417,Negligible
gdd_gdd_abovemax,GDD,1839,2188.97620335282,0.0111950292868187,0.000346966757496625,0.602059925093633,Negligible
eratio_eratio_l_0.25.days_pr,ETo / Evaporative,1839,2189.61809445577,0.0142735461704276,0.000600413438434841,0.599678972712681,Negligible
temp_tmin_mean,Temperature,1839,2187.65894681715,0.00683023705823505,0.000239878944751896,0.582236490101659,Negligible
eratio_eratio_l_0.5.max_seq,ETo / Evaporative,1839,2191.29455218229,0.0109173125315878,0.00140594270560742,0.567950775815944,Negligible
eratio_eratio_l_0.1.days_pr,ETo / Evaporative,1839,2192.27183593083,0.010999732195013,0.00263543664375178,0.565569823434992,Negligible
temp_tmax_var,Temperature,1839,2194.04917341842,0.0110383239736377,0.00674882658645093,0.556313536650615,Negligible
temp_tmax_tg_35.max_rseq,Temperature,1839,2190.84601944404,0.00642638938286955,0.00112249625233793,0.543365436062065,Negligible
rain_rain_l_1.max_seq,Rainfall,1839,2193.86374119314,0.00807994812229329,0.00601337513234683,0.531728196896736,Negligible
eratio_eratio_l_0.25.days,ETo / Evaporative,1839,2194.41148574319,0.00844241913543331,0.00882916120726966,0.526966292134832,Negligible
temp_tmax_sd,Temperature,1839,2195.20195306639,0.0097353676947699,0.013133889411826,0.524585339753879,Negligible
rain_rain_l_0.1.n_seq_d15,Rainfall,1839,2195.41477666013,0.0104786797720872,0.0136354688625034,0.522204387372927,Negligible
eratio_eratio_l_0.5.days_pr,ETo / Evaporative,1839,2195.76800408278,0.00514724602994565,0.0179868703056931,0.461128945960407,Negligible
temp_tmax_tg_35.days_pr,Temperature,1839,2195.49123849205,0.00348833403951798,0.014312859281059,0.456902086677368,Negligible
eratio_eratio_l_0.1.days,ETo / Evaporative,1839,2196.12904757606,0.00606571720144278,0.0240260396087897,0.456367041198502,Negligible
temp_tmax_tg_37.5.n_seq_d5,Temperature,1839,2195.84119571091,0.00448484157483353,0.0194167158194977,0.44975922953451,Negligible
rain_rain_l_1.n_seq_d15,Rainfall,1839,2197.11855434837,0.00824138926357643,0.0379427823727714,0.449224184055645,Negligible
temp_tmax_tg_35.days,Temperature,1839,2195.76050346707,0.00307589067255909,0.0172746846201171,0.445532370251471,Negligible
eratio_eratio_l_0.5.n_seq_d5,ETo / Evaporative,1839,2196.46530630669,0.00515227754693093,0.0292997170668362,0.444997324772606,Negligible
eratio_eratio_median,ETo / Evaporative,1839,2197.40574364477,0.0036217087149738,0.0496320702972206,0.385767790262172,Negligible
temp_tmax_tg_37.5.days,Temperature,1839,2197.060861601,0.00160783335277459,0.0370410088803088,0.384189406099519,Negligible
eratio_eratio_l_0.1.n_seq_d10,ETo / Evaporative,1839,2197.8763871099,0.00444246226663514,0.0690195800190345,0.381005885500268,Negligible
temp_tmax_tg_37.5.max_rseq,Temperature,1839,2197.11804316127,0.00149663511881248,0.0398162623875051,0.365944355270198,Negligible
rain_rain_l_5.days,Rainfall,1839,2197.88479206585,0.00236335212161487,0.06208821817772,0.356420545746389,Negligible
temp_tmax_tg_37.5.days_pr,Temperature,1839,2197.259929648,0.00157101757357414,0.0399853491336166,0.354574638844302,Negligible
eratio_eratio_mean,ETo / Evaporative,1839,2198.38467717434,0.0029862708175914,0.0861635875889408,0.337907972177635,Negligible
rain_rain_l_1.n_seq_d5,Rainfall,1839,2198.30055811403,0.00209213794422924,0.083167676531515,0.331300160513644,Negligible
eratio_eratio_l_0.5.days,ETo / Evaporative,1839,2198.40354073258,0.00230489376187526,0.089222265916344,0.322043873729267,Negligible
rain_eto_sum,Rainfall,1839,2197.24965503853,-0.000234697708713094,0.0416522015072973,0.293766720171215,Negligible
rain_rain_l_5.n_seq_d15,Rainfall,1839,2199.36258170663,0.00134613018653473,0.167704872809973,0.281326912787587,Negligible
eratio_eratio_l_0.25.n_seq_d10,ETo / Evaporative,1839,2200.005535122,0.00174482881114613,0.279315408097442,0.258319957196362,Negligible
rain_w_balance,Rainfall,1839,2200.03709659763,0.000961872434045552,0.253254737234624,0.236115569823435,Negligible
temp_tmax_tg_35.n_seq_d10,Temperature,1839,2200.27942113194,0.000194164813329123,0.274326633522951,0.206768325307651,Negligible
temp_tmean_min,Temperature,1839,2198.20875932692,-0.001939470035355,0.0828498648644565,0.203344034242911,Negligible
rain_rain_l_5.n_seq_d10,Rainfall,1839,2200.47734190998,0.000280768767840667,0.418698031771717,0.185607276618513,Negligible
rain_rain_l_5.max_seq,Rainfall,1839,2200.8194681983,0.000513413768392534,0.488222070696744,0.171856607811664,Negligible
gdd_gdd_opt,GDD,1839,2199.20962648416,-0.00214618110937104,0.15593855862434,0.171348314606742,Negligible
temp_tmax_tg_37.5.n_seq_d10,Temperature,1839,2200.21690474059,-0.000205782054509829,0.366849646105711,0.165516318887105,Negligible
temp_tmin_min,Temperature,1839,2199.38828418852,-0.00279088085425139,0.17247232269111,0.153103263777421,Negligible
eratio_eratio_l_0.5.n_seq_d10,ETo / Evaporative,1839,2200.17599242032,-0.00106657480812999,0.304043705002501,0.130096308186196,Negligible
temp_tmax_tg_35.n_seq_d15,Temperature,1839,2200.83228697348,-0.000480917092579025,0.475764386573909,0.11131621187801,Negligible
rain_rain_sum,Rainfall,1839,2201.09043488687,-6.58105919926211e-05,0.600382373045832,0.106286784376672,Negligible
eratio_eratio_l_0.5.n_seq_d15,ETo / Evaporative,1839,2200.99733752531,-0.000443073593889398,0.599509548079812,0.104173354735153,Negligible
temp_tmax_tg_40.days,Temperature,1839,2200.59579136635,-0.000970721073396685,0.325671955537844,0.102862493311932,Negligible
temp_tmax_tg_40.max_rseq,Temperature,1839,2200.59579136635,-0.000970721073396685,0.325671955537844,0.102862493311932,Negligible
rain_rain_l_5.days_pr,Rainfall,1839,2201.08206695818,-0.000242068677007268,0.57982514566467,0.102059925093633,Negligible
eratio_eratio_min,ETo / Evaporative,1839,2200.43241108953,-0.00125248231546715,0.334004016555592,0.100481540930979,Negligible
eratio_eratio_l_0.25.n_seq_d5,ETo / Evaporative,1839,2201.06386819253,-0.000623794941866818,0.762893297082995,0.0835473515248796,Negligible
rain_w_balance_negdays,Rainfall,1839,2201.11015166871,-0.000637539946612087,0.619214321597466,0.0679507758159444,Negligible
eratio_eratio_l_0.1.n_seq_d5,ETo / Evaporative,1839,2201.13851115146,-0.000660553525796193,0.912953971642218,0.049438202247191,Negligible
temp_tmax_tg_35.n_seq_d5,Temperature,1839,2201.42117879498,-0.000871437396587682,0.871281101583487,0.0428303905831996,Negligible
temp_tmax_tg_40.days_pr,Temperature,1839,2201.58091573061,-0.00114704033137247,0.842679672703746,0.0227394328517924,Negligible
rain_eto_na,Rainfall,1839,2199.47464689516,0,,,Negligible
temp_tmax_tg_37.5.n_seq_d15,Temperature,1839,2199.47464689516,0,,,Negligible
temp_tmax_tg_40.n_seq_d5,Temperature,1839,2199.47464689516,0,,,Negligible
temp_tmax_tg_40.n_seq_d10,Temperature,1839,2199.47464689516,0,,,Negligible
temp_tmax_tg_40.n_seq_d15,Temperature,1839,2199.47464689516,0,,,Negligible
